"Kode Aset";"Serial Number";"Kode Item";"Nama Aset";Spesifikasi;"Tanggal Perolehan";"Harga Beli";"Sumber Perolehan";"Kode Unit";"Nama Unit";PIC;Kondisi;Status;"Jenis KIB";"Masa Manfaat (Tahun)";"Nilai Residu";"Akumulasi Penyusutan";"Nilai Buku"
01201030246-02;SN-01201030246-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030247-02;SN-01201030247-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030248-02;SN-01201030248-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030249-02;SN-01201030249-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030250-02;SN-01201030250-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030251-02;SN-01201030251-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030252-02;SN-01201030252-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030253-02;SN-01201030253-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030254-02;SN-01201030254-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030255-02;SN-01201030255-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030256-02;SN-01201030256-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
01201030257-02;SN-01201030257-02;BRG0720260249;"Keset Kaki Handuk";;2018-01-01;15000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;15000
